Date	input3...9.	UT...5.	ReturnAUM.RGE	AdjAUM.AdjGE	GE_USDCAD	SPX_USDCAD	EU_USDCAD	UK_GBPCAD	JP_JPYCAD
12/20/2017	22835320070	-125000	22749052117	22871135186	-0.00377783	-0.004236726	-0.00413629	-0.001748139	-0.007007748
12/21/2017	22672736788	0	22512126408	22749052117	-0.007083855	-0.007642101	-0.005586203	-0.003109956	-0.008011667
12/22/2017	22706949732	0	22742386698	22512126408	0.001560622	0.001661912	-0.001115594	0.001536386	0.00104187
12/27/2017	22574661995	0	22544777192	22742386698	-0.001323821	-0.002517242	-0.000229901	0.002922065	-0.002683781
12/28/2017	22487177200	0	22402316702	22544777192	-0.003773728	-0.003901361	-0.004547225	-0.002540816	-0.00843021
12/29/2017	22341291804	0	22195829868	22402316702	-0.006510901	-0.010081614	-6.01E-05	0.010181365	0.001363309
01/02/2018	22417998421	0	22508287185	22195829868	0.004027512	0.006331758	-0.000971993	-0.003281869	0.000466933
01/03/2018	22565968125	0	22724698453	22508287185	0.007034058	0.00889369	0.005482341	0.000586863	3.59E-05
01/04/2018	22722071805	0	22890549282	22724698453	0.007414706	0.003307837	0.012514711	0.005361008	0.026311785
01/05/2018	22646243261	0	22553319134	22890549282	-0.004103291	-0.003537362	-0.004489416	-0.005984221	0.000193912
01/08/2018	22711219702	0	22767883079	22553319134	0.002494951	0.003520919	-0.000490864	-0.000535209	0.000273236
01/09/2018	22835533520	0	22955537160	22767883079	0.005255127	0.004649046	0.003693017	0.003620175	0.013294442
01/10/2018	22907954552	0	22953824147	22955537160	0.002002344	0.000651481	0.002324902	0.004671385	0.014887073
01/11/2018	23118211942	0	23322809328	22953824147	0.008850052	0.011470956	0.006375697	0.006489011	-0.003950917
01/12/2018	23086798405	-146704171.1	23178836026	23176105157	0.003986591	0.004501164	0.009232384	0.011116693	-0.005233698
01/15/2018	22975066225	0	22879666933	23178836026	-0.004152297	-0.008074187	0.00061062	-0.000987961	0.004797564
